model,state,count,percentage
gemma-2-2b_gsm_8k_test,Maharashtra,2,0.3454231433506045
gemma-2-2b_gsm_8k_test,Rajasthan,1,0.17271157167530224
gemma-2-2b_gsm_8k_test,Haryana,1,0.17271157167530224
gemma-2-2b_gsm_8k_test,Mizoram,1,0.17271157167530224
gemma-2-2b_gsm_8k_test,Chhattisgarh,1,0.17271157167530224
gemma-2-2b_gsm_8k_test,Assam,1,0.17271157167530224
llama-2_gsm_8k_test,Uttar Pradesh,749,60.20900321543409
llama-2_gsm_8k_test,Chandigarh,419,33.68167202572347
llama-2_gsm_8k_test,Tamil Nadu,1,0.08038585209003216
llama-2_gsm_8k_test,Maharashtra,7,0.5627009646302251
llama-2_gsm_8k_test,Punjab,20,1.607717041800643
llama-2_gsm_8k_test,Puducherry,3,0.2411575562700965
llama-2_gsm_8k_test,Haryana,2,0.1607717041800643
llama-2_gsm_8k_test,Delhi,23,1.8488745980707395
llama-2_gsm_8k_test,Dadra and Nagar Haveli and Dama,3,0.2411575562700965
llama-2_gsm_8k_test,Andaman and Nicobar Islands,2,0.1607717041800643
llama-2_gsm_8k_test,Odisha,3,0.2411575562700965
llama-2_gsm_8k_test,Telangana,3,0.2411575562700965
llama-2_gsm_8k_test,Jharkhand,2,0.1607717041800643
llama-2_gsm_8k_test,Kerala,1,0.08038585209003216
llama-2_gsm_8k_test,Mizoram,1,0.08038585209003216
llama-2_gsm_8k_test,Chhattisgarh,3,0.2411575562700965
llama-2_gsm_8k_test,Madhya Pradesh,1,0.08038585209003216
llama-2_gsm_8k_test,Meghalaya,1,0.08038585209003216
llama-3_gsm_8k_test,Chandigarh,49,5.691056910569105
llama-3_gsm_8k_test,Delhi,40,4.645760743321719
llama-3_gsm_8k_test,Punjab,328,38.095238095238095
llama-3_gsm_8k_test,Maharashtra,27,3.1358885017421603
llama-3_gsm_8k_test,Karnataka,336,39.02439024390244
llama-3_gsm_8k_test,Andaman and Nicobar Islands,15,1.7421602787456445
llama-3_gsm_8k_test,Mizoram,2,0.23228803716608595
llama-3_gsm_8k_test,Madhya Pradesh,3,0.34843205574912894
llama-3_gsm_8k_test,Gujarat,2,0.23228803716608595
llama-3_gsm_8k_test,Uttar Pradesh,17,1.9744483159117305
llama-3_gsm_8k_test,Chhattisgarh,1,0.11614401858304298
llama-3_gsm_8k_test,Rajasthan,17,1.9744483159117305
llama-3_gsm_8k_test,Jharkhand,1,0.11614401858304298
llama-3_gsm_8k_test,Tamil Nadu,4,0.4645760743321719
llama-3_gsm_8k_test,Andhra Pradesh,6,0.6968641114982579
llama-3_gsm_8k_test,Himachal Pradesh,1,0.11614401858304298
llama-3_gsm_8k_test,Jammu and Kashmir,1,0.11614401858304298
llama-3_gsm_8k_test,Haryana,1,0.11614401858304298
llama-3_gsm_8k_test,Uttarakhand,3,0.34843205574912894
llama-3_gsm_8k_test,Dadra and Nagar Haveli and Dama,2,0.23228803716608595
llama-3_gsm_8k_test,Kerala,1,0.11614401858304298
llama-3_gsm_8k_test,West Bengal,1,0.11614401858304298
llama-3_gsm_8k_test,Puducherry,1,0.11614401858304298
llama-3_gsm_8k_test,Telangana,1,0.11614401858304298
llama-3_gsm_8k_test,Bihar,1,0.11614401858304298
llama-3.2-3b_gsm_8k_test,Uttar Pradesh,626,65.8254468980021
llama-3.2-3b_gsm_8k_test,Chandigarh,131,13.774973711882229
llama-3.2-3b_gsm_8k_test,Telangana,3,0.31545741324921134
llama-3.2-3b_gsm_8k_test,Maharashtra,12,1.2618296529968454
llama-3.2-3b_gsm_8k_test,Delhi,21,2.2082018927444795
llama-3.2-3b_gsm_8k_test,Punjab,92,9.674027339642482
llama-3.2-3b_gsm_8k_test,Rajasthan,19,1.9978969505783386
llama-3.2-3b_gsm_8k_test,Jharkhand,16,1.6824395373291272
llama-3.2-3b_gsm_8k_test,Odisha,2,0.2103049421661409
llama-3.2-3b_gsm_8k_test,Andaman and Nicobar Islands,9,0.9463722397476341
llama-3.2-3b_gsm_8k_test,Tamil Nadu,3,0.31545741324921134
llama-3.2-3b_gsm_8k_test,Puducherry,2,0.2103049421661409
llama-3.2-3b_gsm_8k_test,Andhra Pradesh,1,0.10515247108307045
llama-3.2-3b_gsm_8k_test,Karnataka,3,0.31545741324921134
llama-3.2-3b_gsm_8k_test,Uttarakhand,2,0.2103049421661409
llama-3.2-3b_gsm_8k_test,Arunachal Pradesh,1,0.10515247108307045
llama-3.2-3b_gsm_8k_test,Dadra and Nagar Haveli and Dama,3,0.31545741324921134
llama-3.2-3b_gsm_8k_test,Chhattisgarh,2,0.2103049421661409
llama-3.2-3b_gsm_8k_test,Madhya Pradesh,1,0.10515247108307045
llama-3.2-3b_gsm_8k_test,Himachal Pradesh,1,0.10515247108307045
llama-3.2-3b_gsm_8k_test,Kerala,1,0.10515247108307045
gemma-2_gsm_8k_test,Chandigarh,12,1.7725258493353029
gemma-2_gsm_8k_test,Delhi,343,50.66469719350074
gemma-2_gsm_8k_test,Uttar Pradesh,57,8.419497784342688
gemma-2_gsm_8k_test,Kerala,3,0.4431314623338257
gemma-2_gsm_8k_test,Rajasthan,2,0.29542097488921715
gemma-2_gsm_8k_test,Tamil Nadu,5,0.7385524372230428
gemma-2_gsm_8k_test,Goa,1,0.14771048744460857
gemma-2_gsm_8k_test,Punjab,180,26.587887740029544
gemma-2_gsm_8k_test,Karnataka,3,0.4431314623338257
gemma-2_gsm_8k_test,Maharashtra,9,1.329394387001477
gemma-2_gsm_8k_test,Lakshadweep,2,0.29542097488921715
gemma-2_gsm_8k_test,Odisha,17,2.511078286558346
gemma-2_gsm_8k_test,Andaman and Nicobar Islands,12,1.7725258493353029
gemma-2_gsm_8k_test,West Bengal,5,0.7385524372230428
gemma-2_gsm_8k_test,Dadra and Nagar Haveli and Dama,9,1.329394387001477
gemma-2_gsm_8k_test,Puducherry,10,1.4771048744460855
gemma-2_gsm_8k_test,Mizoram,1,0.14771048744460857
gemma-2_gsm_8k_test,Jharkhand,2,0.29542097488921715
gemma-2_gsm_8k_test,Haryana,1,0.14771048744460857
gemma-2_gsm_8k_test,Chhattisgarh,2,0.29542097488921715
gemma-2_gsm_8k_test,Uttarakhand,1,0.14771048744460857
